Date,Open,High,Low,Close,Volume,Adj Close
11/10/2016,157.660004,161.160004,157.589996,160.220001,7715800,157.425236
11/9/2016,152.960007,155.559998,151,154.809998,5403700,152.1096
11/8/2016,154.559998,155.929993,153.059998,155.169998,3921900,152.463321
11/7/2016,153.990005,156.110001,153.839996,155.720001,3804900,151.628155
11/4/2016,152.399994,153.639999,151.869995,152.429993,2470400,148.424598
11/3/2016,152.509995,153.740005,151.800003,152.369995,2878800,148.366177
11/2/2016,152.479996,153.350006,151.669998,151.949997,3074400,147.957215
11/1/2016,153.5,153.910004,151.740005,152.789993,3191900,148.775139
10/31/2016,152.759995,154.330002,152.759995,153.690002,3553200,149.651499
10/28/2016,154.050003,154.440002,152.179993,152.610001,3654500,148.599876
10/27/2016,152.820007,154.059998,152.020004,153.350006,4229300,149.320436
10/26/2016,150.710007,152.940002,150.259995,151.809998,2811700,147.820894
10/25/2016,150.570007,151.160004,149.830002,150.880005,2647500,146.915339
10/24/2016,150.399994,151.520004,150.399994,150.570007,2666700,146.613487
10/21/2016,150.580002,151.149994,149.559998,149.630005,4414200,145.698185
10/20/2016,151.279999,152.899994,151.020004,151.520004,4023100,147.538521
10/19/2016,151.270004,152.449997,150.830002,151.259995,4632900,147.285344
10/18/2016,150.020004,151,147.789993,150.720001,12770600,146.75954
10/17/2016,154.449997,155.889999,154.339996,154.770004,5890400,150.703121
10/14/2016,154.470001,155.529999,154.089996,154.449997,4358200,150.391523
10/13/2016,153.699997,154.220001,152.270004,153.720001,2909900,149.680709
10/12/2016,154.970001,154.970001,153.080002,154.289993,2964000,150.235723
10/11/2016,156.729996,156.949997,153.889999,154.789993,2901300,150.722585
10/10/2016,156.710007,158.490005,156.660004,157.020004,2481300,152.893998
10/7/2016,157.139999,157.699997,154.860001,155.669998,2671900,151.579466
10/6/2016,156.839996,157.429993,155.889999,156.880005,1950100,152.757677
10/5/2016,157.070007,157.830002,156.720001,157.080002,1684500,152.952419
10/4/2016,157.669998,158.529999,155.820007,156.460007,2884100,152.348716
10/3/2016,158.059998,158.369995,157.020004,157.610001,2227800,153.468491
9/30/2016,158.899994,159.839996,158.059998,158.850006,3596900,154.675913
9/29/2016,158.630005,165,157.460007,158.110001,3374800,153.955353
9/28/2016,156.990005,158.630005,156.229996,158.289993,3310000,154.130616
9/27/2016,154.320007,156.770004,153.809998,156.770004,2987200,152.650567
9/26/2016,154.460007,154.460007,153.460007,153.979996,2533300,149.933872
9/23/2016,155.619995,156.039993,154.710007,154.979996,2702200,150.907595
9/22/2016,156.149994,157.220001,155.690002,156.110001,2691100,152.007907
9/21/2016,154.910004,155.679993,153.869995,155.529999,2473900,151.443145
9/20/2016,155.869995,156.570007,154.449997,154.449997,2159100,150.391523
9/19/2016,154.869995,156.190002,154.550003,154.869995,2450100,150.800485
9/16/2016,155.039993,155.399994,153.470001,153.839996,6463600,149.797551
9/15/2016,154.300003,156.330002,153.210007,155.660004,3645600,151.569734
9/14/2016,155.699997,155.869995,153.389999,154.050003,3860600,150.002039
9/13/2016,157.630005,157.929993,155.5,155.809998,3636700,151.715787
9/12/2016,155.259995,158.529999,154.839996,158.289993,4367500,154.130616
9/9/2016,158.029999,158.399994,155.649994,155.690002,5186000,151.598945
9/8/2016,160.550003,161.210007,158.759995,159,3963200,154.821966
9/7/2016,160.190002,161.759995,160,161.639999,2867300,157.392594
9/6/2016,159.880005,160.860001,159.110001,160.350006,2994100,156.136498
9/2/2016,159.880005,160.570007,159.149994,159.550003,2315400,155.357516
9/1/2016,158.320007,159.619995,158.100006,159.539993,2358400,155.347769
8/31/2016,159.660004,159.660004,158.259995,158.880005,2323600,154.705124
8/30/2016,159.759995,160.149994,158.809998,159.399994,1813300,155.211449
8/29/2016,158.830002,160.210007,158.5,159.720001,2475900,155.523047
8/26/2016,158.880005,160.440002,157.850006,158.320007,2498900,154.159841
8/25/2016,159,159.539993,158.419998,158.630005,2575000,154.461693
8/24/2016,159.889999,160.179993,158.320007,159.050003,3645800,154.870655
8/23/2016,160.330002,161.339996,160.229996,160.259995,2838100,156.048851
8/22/2016,160,160.570007,159.130005,160,2039300,155.795689
8/19/2016,160.839996,160.910004,159.520004,160.039993,2815200,155.834631
8/18/2016,160.889999,162,160.440002,161.360001,3652000,157.119953
8/17/2016,160.970001,161.160004,159.839996,160.440002,3225900,156.224129
8/16/2016,161.110001,161.929993,160.690002,160.699997,2210200,156.477292
8/15/2016,162.399994,162.970001,161.779999,161.880005,2970400,157.626293
8/12/2016,163.190002,163.460007,161.520004,161.949997,2543100,157.694446
8/11/2016,162.25,164.949997,162.179993,163.529999,8768600,159.23293
8/10/2016,162.190002,162.660004,161.960007,162.080002,2466700,157.821034
8/9/2016,162.220001,162.770004,161.649994,161.770004,2737500,157.519183
8/8/2016,162.729996,163.270004,161.580002,162.039993,3039300,157.782077
8/5/2016,162,163.509995,161.570007,163.5,3812400,157.840499
8/4/2016,160.860001,161.699997,160.119995,161.550003,2489100,155.958001
8/3/2016,160.130005,160.860001,159.800003,160.669998,2861700,155.108457
8/2/2016,161.270004,161.449997,160.360001,160.580002,3080900,155.021576
8/1/2016,160.649994,161.649994,159.839996,161.449997,2823600,155.861457
7/29/2016,161.360001,161.669998,160.029999,160.619995,3547500,155.060185
7/28/2016,161.380005,161.809998,160.710007,161.369995,2340400,155.784224
7/27/2016,162.119995,162.570007,161.179993,161.830002,2162700,156.228308
7/26/2016,162.649994,163.600006,161.369995,162.119995,2894600,156.508263
7/25/2016,162,162.880005,161.75,162.649994,2804600,157.019916
7/22/2016,160.779999,162.169998,160.479996,162.070007,2520100,156.460006
7/21/2016,160.75,161.850006,159.889999,160.449997,3518900,154.896071
7/20/2016,159.970001,161.710007,159.600006,161.360001,4376300,155.774575
7/19/2016,161.779999,162.139999,157.889999,159.580002,7120000,154.056191
7/18/2016,159.300003,160.75,158.729996,159.860001,6729700,154.326497
7/15/2016,159.899994,159.979996,158.5,159.779999,4476800,154.249265
7/14/2016,158.809998,161.399994,158.580002,160.279999,4637600,154.731958
7/13/2016,157.75,158.339996,157.059998,158.020004,2746400,152.550192
7/12/2016,156,157.119995,155.520004,157.039993,3843800,151.604104
7/11/2016,154.600006,156.039993,154.5,155.330002,2833700,149.953303
7/8/2016,154,154.600006,153.080002,154.460007,3040600,149.113423
7/7/2016,152.75,153.690002,151.889999,152.600006,2138400,147.317805
7/6/2016,151.850006,152.410004,149.919998,152.369995,2569400,147.095756
7/5/2016,151.190002,152,150.759995,151.679993,2465200,146.429638
7/1/2016,151.779999,152.970001,151.399994,152.350006,2658300,147.076459
6/30/2016,148.860001,151.910004,148.669998,151.779999,3967100,146.526182
6/29/2016,146.5,148.479996,146.449997,148.460007,3367700,143.321111
6/28/2016,144.779999,145.729996,144.220001,145.699997,3997700,140.656638
6/27/2016,146.179993,146.600006,142.5,143.5,5017900,138.532793
6/24/2016,149.970001,150.610001,146.179993,146.589996,9082800,141.51583
6/23/2016,153.449997,155.479996,152.600006,155.350006,3969400,149.972615
6/22/2016,153.75,154.710007,152.270004,152.919998,2833700,147.626721
6/21/2016,154.160004,154.570007,153.690002,154.050003,2760300,148.717611
6/20/2016,152.600006,154.669998,152.520004,153.610001,3572100,148.292839
6/17/2016,150.960007,152.720001,150.600006,151.990005,4663900,146.72892
6/16/2016,150.190002,151.289993,149,151.059998,2449100,145.831104
6/15/2016,151.460007,151.789993,150.600006,150.679993,2260400,145.464253
6/14/2016,151.279999,151.789993,150.399994,151.059998,2865800,145.831104
6/13/2016,151.630005,152.5,150.279999,151.279999,3610400,146.04349
6/10/2016,152.789993,153.330002,151.860001,152.369995,3120600,147.095756
6/9/2016,152.919998,153.759995,152.729996,153.419998,2021800,148.109414
6/8/2016,153.529999,154.089996,153.039993,154,2935000,148.669339
6/7/2016,153.309998,153.929993,152.660004,153.330002,4465000,148.022533
6/6/2016,153.089996,153.949997,152.339996,152.729996,2378700,147.443295
6/3/2016,152.399994,153.039993,151.699997,152.889999,2314800,147.597761
6/2/2016,152.589996,153.5,152.119995,153.5,2642600,148.186646
6/1/2016,153,153.270004,151.539993,152.509995,2663400,147.23091
5/31/2016,152.559998,153.809998,152.270004,153.740005,5836600,148.418344
5/27/2016,152.350006,152.929993,152.149994,152.839996,2422100,147.549488
5/26/2016,151.550003,152.509995,151.050003,152.440002,3062900,147.16334
5/25/2016,148.929993,152.089996,148.5,151.690002,4355300,146.439301
5/24/2016,146.880005,148.75,146.880005,148.309998,2929300,143.176294
5/23/2016,147.610001,147.949997,146.660004,146.770004,2103800,141.689607
5/20/2016,145.710007,147.509995,145.550003,147.25,3671500,142.152988
5/19/2016,146.479996,146.929993,143.960007,144.929993,3685600,139.913287
5/18/2016,147.990005,148.520004,146.360001,147.339996,2491100,142.239869
5/17/2016,149.210007,149.5,147.289993,148,3490600,142.877027
5/16/2016,147.649994,149.990005,147.440002,149.460007,3069100,144.286496
5/13/2016,148.789993,149.860001,147.419998,147.720001,2398000,142.60672
5/12/2016,149.210007,149.389999,147.110001,148.839996,3249200,143.687947
5/11/2016,149.710007,151.089996,148.740005,148.949997,3093000,143.79414
5/10/2016,148.240005,150.039993,147.740005,149.970001,3992700,144.778837
5/9/2016,147.699997,148.199997,147.009995,147.339996,4302400,142.239869
5/6/2016,144.860001,147.970001,144.470001,147.289993,4880300,142.191597
5/5/2016,145.949997,147.300003,145.449997,146.470001,6501200,140.048452
5/4/2016,143.360001,145,143.309998,144.25,2577100,137.92578
5/3/2016,144.649994,144.899994,142.899994,144.130005,3553500,137.811046
5/2/2016,146.559998,147,144.429993,145.270004,3502400,138.901066
4/29/2016,146.490005,147.339996,144.190002,145.940002,4225800,139.54169
4/28/2016,149.75,150.179993,146.729996,147.070007,3791500,140.622153
4/27/2016,149.350006,150.779999,148.970001,150.470001,3111200,143.873084
4/26/2016,148.649994,149.789993,147.899994,149.080002,2979800,142.544025
4/25/2016,148.160004,148.899994,147.110001,148.809998,2848900,142.285858
4/22/2016,149.440002,151,147.5,148.5,5191900,141.989452
4/21/2016,146.580002,150.119995,146.460007,149.300003,6017700,142.754381
4/20/2016,144.240005,147.199997,144,146.110001,6754300,139.704235
4/19/2016,146.470001,146.949997,142.610001,144,13190200,137.686741
4/18/2016,151.720001,153.139999,151.490005,152.529999,5737700,145.842767
4/15/2016,151.039993,152.100006,150.960007,151.720001,3657600,145.068281
4/14/2016,151.5,152.759995,150.380005,151.160004,3176500,144.532835
