Date,Open,High,Low,Close,Volume,Adj Close
1/5/2017,226.270004,226.580002,225.479996,226.399994,78379000,225.419322
1/4/2017,225.619995,226.75,225.610001,226.580002,78744400,225.59855
1/3/2017,225.039993,225.830002,223.880005,225.240005,91366500,224.264358
12/30/2016,224.729996,224.830002,222.729996,223.529999,108998300,222.561759
12/29/2016,224.479996,224.889999,223.839996,224.350006,48696100,223.378214
12/28/2016,226.570007,226.589996,224.270004,224.399994,64095000,223.427985
12/27/2016,226.020004,226.729996,226,226.270004,42672500,225.289896
12/23/2016,225.429993,225.720001,225.210007,225.710007,36697800,224.732324
12/22/2016,225.600006,225.740005,224.919998,225.380005,56219100,224.403751
12/21/2016,226.25,226.449997,225.770004,225.770004,67909000,224.792061
12/20/2016,226.149994,226.570007,225.880005,226.399994,89838800,225.419322
12/19/2016,225.25,226.020004,225.080002,225.529999,90341100,224.553096
12/16/2016,226.009995,226.080002,224.669998,225.039993,156420200,224.065213
12/15/2016,226.160004,227.809998,225.889999,226.809998,124972600,224.504304
12/14/2016,227.410004,228.229996,225.369995,225.880005,142501800,223.583765
12/13/2016,227.020004,228.339996,227,227.759995,110477500,225.444643
12/12/2016,226.399994,226.960007,225.759995,226.25,102016100,223.949999
12/9/2016,225.410004,226.529999,225.369995,226.509995,88005800,224.20735
12/8/2016,224.570007,225.699997,224.259995,225.149994,99714400,222.861175
12/7/2016,221.520004,224.669998,221.380005,224.600006,110738100,222.316778
12/6/2016,221.220001,221.740005,220.660004,221.699997,59877400,219.44625
12/5/2016,220.649994,221.399994,220.419998,221,67837800,218.753369
12/2/2016,219.669998,220.25,219.259995,219.679993,74840300,217.446781
12/1/2016,220.729996,220.729996,219.149994,219.570007,79040500,217.337913
11/30/2016,221.630005,221.820007,220.309998,220.380005,113291800,218.139677
11/29/2016,220.520004,221.440002,220.169998,220.910004,69886700,218.664288
11/28/2016,221.160004,221.479996,220.360001,220.479996,76572500,218.238651
11/25/2016,221.100006,221.559998,221.009995,221.520004,37872300,219.268087
11/23/2016,219.979996,220.759995,219.75,220.699997,56620200,218.456416
11/22/2016,220.509995,220.789993,219.729996,220.580002,67429000,218.33764
11/21/2016,219.169998,220.179993,219,220.149994,72402600,217.912004
11/18/2016,219.070007,219.270004,218.289993,218.5,86265800,216.278783
11/17/2016,218.050003,219.059998,217.919998,218.990005,69797200,216.763808
11/16/2016,217.559998,218.139999,217.419998,217.869995,65617700,215.655183
11/15/2016,217.039993,218.279999,216.800003,218.279999,91652600,216.061019
11/14/2016,217.029999,217.270004,215.720001,216.589996,94580000,214.388196
11/11/2016,216.080002,216.699997,215.320007,216.419998,100552700,214.219926
11/10/2016,217.300003,218.309998,215.220001,216.919998,172113300,214.714843
11/9/2016,212.369995,217.100006,212.339996,216.380005,258429000,214.18034
11/8/2016,212.690002,214.770004,212.380005,214.110001,106772100,211.933412
11/7/2016,208.550003,213.190002,208.550003,213.149994,109794900,210.983164
11/4/2016,208.910004,209.889999,208.380005,208.550003,109122100,206.429936
11/3/2016,209.990005,210.240005,208.460007,208.779999,88939300,206.657593
11/2/2016,210.649994,211.100006,209.229996,209.740005,103330800,207.607841
11/1/2016,212.929993,212.990005,209.600006,211.009995,122781800,208.864919
10/31/2016,212.929993,213.190002,212.360001,212.550003,61272500,210.389273
10/28/2016,213.139999,213.929993,211.710007,212.539993,140623200,210.379365
10/27/2016,214.580002,214.619995,213.080002,213.169998,77220200,211.002965
10/26/2016,213.210007,214.419998,212.929993,213.740005,75705500,211.567178
10/25/2016,214.679993,214.979996,213.979996,214.169998,66542300,211.992799
10/24/2016,215,215.320007,214.479996,214.889999,60146600,212.705481
10/21/2016,213.880005,214.080002,212.759995,213.979996,89089100,211.804728
10/20/2016,213.869995,214.529999,213.110001,213.880005,73639800,211.705754
10/19/2016,214.020004,214.639999,213.600006,214.279999,66519200,212.101682
10/18/2016,214.240005,214.309998,213.270004,213.710007,76869700,211.537484
10/17/2016,213.089996,213.389999,212.169998,212.380005,58275700,210.221003
10/14/2016,214.149994,214.690002,213.029999,213.119995,93346200,210.95347
10/13/2016,212.160004,213.589996,211.210007,213.009995,101357000,210.844588
10/12/2016,213.589996,214.320007,213.009995,213.710007,73866100,211.537484
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
9/9/2016,216.970001,217.029999,213.25,213.279999,221589100,210.0508
9/8/2016,218.619995,218.940002,218.149994,218.509995,74102900,215.201611
9/7/2016,218.839996,219.220001,218.300003,219.009995,76554900,215.69404
9/6/2016,218.699997,219.119995,217.860001,219.029999,56702100,215.713742
9/2/2016,218.389999,218.869995,217.699997,218.369995,79293900,215.063731
9/1/2016,217.369995,217.729996,216.029999,217.389999,97844200,214.098573
8/31/2016,217.610001,217.75,216.470001,217.380005,85269500,214.08873
8/30/2016,218.259995,218.589996,217.350006,218,58114500,214.699338
8/29/2016,217.440002,218.669998,217.399994,218.360001,70502200,215.053888
